['Название'];['Ссылка'];['Цена в рублях']
Белый ромпер с пышными рукавами River Island;https://www.asos.com/ru/river-island/belyj-romper-s-pyshnymi-rukavami-river-island/prd/24041996?clr=belyj&colourwayid=60534176&cid=7618;3 490,00 руб.
Белый комбинезон в горошек с лямками и широкими штанинами Stradivarius;https://www.asos.com/ru/stradivarius/belyj-kombinezon-v-goroshek-s-lyamkami-i-shirokimi-shtaninami-stradivarius/prd/200260226?clr=belyj&colourwayid=200260227&cid=7618;1 890,00 руб.
Черный комбинезон Dr Denim Darcy;https://www.asos.com/ru/dr-denim/chernyj-kombinezon-dr-denim-darcy/prd/23753752?clr=chernyj&colourwayid=60509634&cid=7618;5 960,00 руб.
Синий выбеленный комбинезон свободного кроя с завязками Stradivarius;https://www.asos.com/ru/stradivarius/sinij-vybelennyj-kombinezon-svobodnogo-kroya-s-zavyazkami-stradivarius/prd/200357325?clr=goluboj&colourwayid=200357326&cid=7618;2 990,00 руб.
Черный ромпер в горошек с бретелями-завязками Pieces;https://www.asos.com/ru/pieces-tall/chernyj-romper-v-goroshek-s-bretelyami-zavyazkami-pieces/prd/23637220?clr=v-chernuyu-krapinku&colourwayid=60499710&cid=7618;2 390,00 руб.
Льняной ромпер цвета хаки с поясом на талии Vero Moda Tall;https://www.asos.com/ru/vero-moda-tall/lnyanoj-romper-tsveta-haki-s-poyasom-na-talii-vero-moda-tall/prd/23865408?clr=haki&colourwayid=60518860&cid=7618;3 290,00 руб.
Черный пляжный ромпер с кружевной отделкой и объемными рукавами River Island;https://www.asos.com/ru/river-island/chernyj-plyazhnyj-romper-s-kruzhevnoj-otdelkoj-i-obemnymi-rukavami-river-island/prd/23804389?clr=chernyj-tsvet&colourwayid=60513639&cid=7618;3 690,00 руб.
Коричневый пляжный комбинезон со сборками спереди и тигровым принтом River Island Plus;https://www.asos.com/ru/river-island-plus/korichnevyj-plyazhnyj-kombinezon-so-sborkami-speredi-i-tigrovym-printom-river-island-plus/prd/23808313?clr=animalistichnyj-print&colourwayid=60513931&cid=7618;2 890,00 руб.
Ромпер из фактурного жатого трикотажа Catch;https://www.asos.com/ru/catch/romper-iz-fakturnogo-zhatogo-trikotazha-catch/prd/23742860?clr=kremovyj&colourwayid=60508770&cid=7618;2 490,00 руб.
Укороченный комбинезон цвета хаки с поясом Only;https://www.asos.com/ru/only/ukorochennyj-kombinezon-tsveta-haki-s-poyasom-only/prd/23815440?clr=haki&colourwayid=60514633&cid=7618;2 890,00 руб.
Розовый комбинезон с широкими штанинами, запахом и завязкой на шее Missguided;https://www.asos.com/ru/missguided/rozovyj-kombinezon-s-shirokimi-shtaninami-zapahom-i-zavyazkoj-na-shee-missguided/prd/23789364?clr=rozovyj-tsvet&colourwayid=60512458&cid=7618;3 390,00 руб.
Черный ромпер в белый горошек Pieces Exclusive;https://www.asos.com/ru/pieces/chernyj-romper-v-belyj-goroshek-pieces-exclusive/prd/23677365?clr=chernyj-v-goroshek&colourwayid=60503325&cid=7618;2 390,00 руб.
Комбинезон цвета хаки с завязкой на талии Noisy May;https://www.asos.com/ru/noisy-may/kombinezon-tsveta-haki-s-zavyazkoj-na-talii-noisy-may/prd/23643723?clr=haki&colourwayid=60500218&cid=7618;3 690,00 руб.
Черный комбинезон в утилитарном стиле с логотипом-галочкой Nike;https://www.asos.com/ru/nike/chernyj-kombinezon-v-utilitarnom-stile-s-logotipom-galochkoj-nike/prd/21394581?clr=chernyj&colourwayid=60163586&cid=7618;8 499,00 руб.
Голубой ромпер на бретельках с цветочным принтом Hollister;https://www.asos.com/ru/hollister/goluboj-romper-na-bretelkah-s-tsvetochnym-printom-hollister/prd/22510687?clr=sinij-tsvetochnyj&colourwayid=60403934&cid=7618;2 790,00 руб.
Черный ромпер на бретельках с цветочным принтом Hollister;https://www.asos.com/ru/hollister/chernyj-romper-na-bretelkah-s-tsvetochnym-printom-hollister/prd/22510674?clr=chernyj&colourwayid=60403933&cid=7618;2 790,00 руб.
Трикотажный ромпер черного цвета с контрастной окантовкой Bershka;https://www.asos.com/ru/bershka/trikotazhnyj-romper-chernogo-tsveta-s-kontrastnoj-okantovkoj-bershka/prd/200474835?clr=chernyj&colourwayid=200474849&cid=7618;1 590,00 руб.
Трикотажный ромпер оранжевого цвета с контрастной окантовкой Bershka;https://www.asos.com/ru/bershka/trikotazhnyj-romper-oranzhevogo-tsveta-s-kontrastnoj-okantovkoj-bershka/prd/200474974?clr=oranzhevyj&colourwayid=200474983&cid=7618;1 590,00 руб.
Джинсовый комбинезон в вертикальную полоску Dickies Oronoco;https://www.asos.com/ru/dickies/dzhinsovyj-kombinezon-v-vertikalnuyu-polosku-dickies-oronoco/prd/23394227?clr=goluboj&colourwayid=60478581&cid=7618;8 690,00 руб.
Чайный комбинезон на пуговицах спереди с черным цветочным принтом Nobody's Child;https://www.asos.com/ru/nobodys-child/chajnyj-kombinezon-na-pugovitsah-speredi-s-chernym-tsvetochnym-printom-nobodys-child/prd/23590639?clr=chernyj-s-tsvetochnym-printom&colourwayid=60495906&cid=7618;4 090,00 руб.
Кремовый трикотажный комбинезон из органического хлопка в рубчик с широкими штанинами Monki Sandra;https://www.asos.com/ru/monki/kremovyj-trikotazhnyj-kombinezon-iz-organicheskogo-hlopka-v-rubchik-s-shirokimi-shtaninami-monki-sandra/prd/23602742?clr=zheltovatyj&colourwayid=60496760&cid=7618;2 890,00 руб.
Желтый трикотажный комбинезон из органического хлопка в рубчик с широкими штанинами Monki Sandra;https://www.asos.com/ru/monki/zheltyj-trikotazhnyj-kombinezon-iz-organicheskogo-hlopka-v-rubchik-s-shirokimi-shtaninami-monki-sandra/prd/23716266?clr=zheltyj&colourwayid=60506643&cid=7618;2 890,00 руб.
Синий вельветовый комбинезон Element Rosario;https://www.asos.com/ru/element/sinij-velvetovyj-kombinezon-element-rosario/prd/23033722?clr=goluboj&colourwayid=60445527&cid=7618;6 290,00 руб.
Нежно-голубой комбинезон с поясом Pretty Lavish Claudia;https://www.asos.com/ru/pretty-lavish/nezhno-goluboj-kombinezon-s-poyasom-pretty-lavish-claudia/prd/23223254?clr=nezhno-goluboj&colourwayid=60460653&cid=7618;4 590,00 руб.
Комбинезон с запахом спереди и цветочным принтом лавандового цвета Hollister;https://www.asos.com/ru/hollister/kombinezon-s-zapahom-speredi-i-tsvetochnym-printom-lavandovogo-tsveta-hollister/prd/22510678?clr=lavandovyj-s-tsvetochnym-printom&colourwayid=60403939&cid=7618;4 690,00 руб.
Ярко-красный комбинезон с эластичным присборенным лифом ASOS DESIGN Petite;https://www.asos.com/ru/asos-petite/yarko-krasnyj-kombinezon-s-elastichnym-prisborennym-lifom-asos-design-petite/prd/22946397?clr=tomatno-krasnyj&colourwayid=60438558&cid=7618;2 690,00 руб.
Льняной ромпер цвета хаки с расклешенными рукавами Vero Moda;https://www.asos.com/ru/vero-moda/lnyanoj-romper-tsveta-haki-s-raskleshennymi-rukavami-vero-moda/prd/23801803?clr=haki&colourwayid=60513477&cid=7618;3 690,00 руб.
Ромпер из ткани добби с высоким воротом и кружевной отделкой ASOS DESIGN Petite;https://www.asos.com/ru/asos-petite/romper-iz-tkani-dobbi-s-vysokim-vorotom-i-kruzhevnoj-otdelkoj-asos-design-petite/prd/22060356?clr=chernyj&colourwayid=60346624&cid=7618;4 090,00 руб.
Черный супермягкий комбинируемый комбинезон в рубчик для дома с поясом ASOS DESIGN Petite;https://www.asos.com/ru/asos-petite/chernyj-supermyagkij-kombiniruemyj-kombinezon-v-rubchik-dlya-doma-s-poyasom-asos-design-petite/prd/22711851?clr=chernyj-tsvet&colourwayid=60419042&cid=7618;2 390,00 руб.
